,bearing,consist,course,headsign,latitude,longitude,lowFloor,route,vehicleId
202,45.0,,06007,Univerzitní kampus,49.18708,16.61806,True,60,2610
203,303.0,,06013,Nemocnice Bohunice,49.18737,16.61811,True,61,2612
204,,,08409,Stará osada,49.20293,16.64219,True,84,2613
205,11.0,,04411,Mendlovo náměstí,49.19027,16.59298,True,44,2615
206,157.0,,08407,Stará osada,49.19093,16.64832,True,84,2616
207,303.0,,04404,Mendlovo náměstí,49.21503,16.62673,True,44,2617
208,191.0,,06016,Zvonařka,49.17759,16.56721,True,60,2618
209,,,07710,Úzká,49.17021,16.67945,True,77,2619
210,146.0,,05304,Technologický park,49.21818,16.62877,True,53,2620
211,0.0,,05004,ZOO,49.18276,16.54458,True,50,2622
212,353.0,,05006,Komárov,49.17112,16.61596,True,50,2623
213,,,06018,Zvonařka,49.17605,16.56458,True,61,2624
214,11.0,,05008,Komárov,49.208,16.52101,True,50,2626
215,135.0,,05302,Technologický park,49.2179,16.62897,True,53,2627
216,33.0,,05310,Technologický park,49.22182,16.57983,True,53,2629
217,56.0,,04410,Mendlovo náměstí,49.18951,16.59303,True,44,2630
218,168.0,,05001,Komárov,49.22741,16.53097,True,50,2632
219,22.0,,04005,Úzká,49.16838,16.67863,True,77,2634
220,90.0,,06005,Zvonařka,49.17271,16.59269,True,61,2635
221,247.0,,04003,Úzká,49.18952,16.61447,True,40,2636
222,45.0,,08401,Stará osada,49.22799,16.5933,True,84,2637
223,191.0,,06011,Univerzitní kampus,49.18216,16.60389,True,60,2638
224,101.0,,04401,Mendlovo náměstí,49.19341,16.56568,True,44,2639
225,90.0,,06003,Zvonařka,49.17935,16.56909,True,60,2640
226,281.0,,04007,Úzká,49.13357,16.67334,True,40,2641
227,,,08411,Stará osada,49.20252,16.63826,True,84,2642
228,22.0,,04405,Mendlovo náměstí,49.20194,16.64168,True,44,2643
229,22.0,,05011,Říčanská,49.16795,16.6783,True,790,2644
230,11.0,,08403,Stará osada,49.21523,16.56002,True,84,2645
231,103.0,,08413,Stará osada,49.22886,16.59753,True,84,2648
232,303.0,,04011,Úzká,49.16305,16.63412,True,40,2650
233,157.0,,04403,Mendlovo náměstí,49.22475,16.59415,True,44,2651
234,146.0,,08412,Stará osada,49.20234,16.64267,True,84,2652
235,90.0,,04406,Mendlovo náměstí,49.18767,16.62539,True,44,2653
236,348.0,,04202,"Královo Pole, nádraží",49.26206,16.57688,True,42,2654
237,225.0,,04402,Mendlovo náměstí,49.2188,16.5742,True,44,2655
238,11.0,,06014,Zvonařka,49.17486,16.60264,True,60,2656
239,112.0,,03727,Mendlovo náměstí,49.19469,16.53974,True,37,3001
240,67.0,,03019,"Královo Pole, nádraží",49.22633,16.53219,True,30,3002
241,247.0,,03205,Srbská,49.21342,16.59601,True,32,3003
242,,,03901,Barvičova,49.19504,16.58503,True,35,3004
243,213.0,,03723,Jírovcova,49.19619,16.53401,True,37,3005
244,,,03601,Česká,49.22675,16.55311,True,36,3006
245,105.0,,03909,Barvičova,49.19714,16.60334,True,39,3008
246,292.0,,03607,"Komín, sídliště",49.21572,16.58169,True,36,3009
247,270.0,,03908,Preslova,49.19474,16.58519,True,38,3010
248,67.0,,03726,Jírovcova,49.19026,16.59344,True,37,3012
249,146.0,,03904,Mendlovo náměstí,49.20106,16.57561,True,35,3013
250,225.0,,02702,Pálavské náměstí,49.20687,16.66322,True,27,3016
251,135.0,,03310,"Slatina, sídliště",49.18997,16.63088,True,33,3017
252,281.0,,03316,Hlavní nádraží,49.18518,16.65847,True,31,3020
253,78.0,,03318,Hlavní nádraží,49.16646,16.72752,True,31,3021
254,78.0,,03311,"Šlapanice, Kalvodova",49.19121,16.62574,True,31,3022
255,101.0,,03308,"Šlapanice, Kalvodova",49.18552,16.65646,True,31,3023
256,292.0,,03315,Hlavní nádraží,49.18933,16.63849,True,33,3027
257,315.0,,03203,Česká,49.22844,16.58651,True,32,3030
258,135.0,,03201,Česká,49.20434,16.59863,True,32,3031
259,180.0,,03003,"Královo Pole, nádraží",49.21395,16.52247,True,30,3032
260,337.0,,03021,"Královo Pole, nádraží",49.21428,16.52451,True,30,3033
261,247.0,,03007,Černého,49.22046,16.55334,True,30,3035
262,326.0,,03403,Vychodilova,49.21145,16.59317,True,34,3036
263,11.0,,03617,Česká,49.22677,16.5533,True,36,3037
264,213.0,,03302,Hlavní nádraží,49.18194,16.6902,True,33,3038
265,202.0,,03011,Černého,49.21892,16.5744,True,30,3041
266,202.0,,03009,Černého,49.22412,16.59454,True,30,3042
267,56.0,,03721,Mendlovo náměstí,49.18987,16.58937,True,37,3043
268,180.0,,03005,Černého,49.21964,16.5252,True,30,3044
269,101.0,,03613,Česká,49.21814,16.57243,True,36,3046
270,236.0,,03725,Jírovcova,49.19402,16.54444,True,37,3047
271,112.0,,03001,"Královo Pole, nádraží",49.21387,16.52258,True,30,3048
272,146.0,,03017,"Královo Pole, nádraží",49.21818,16.55469,True,30,3049
273,292.0,,03401,Vychodilova,49.21662,16.5795,True,34,3050
274,326.0,,03603,"Komín, sídliště",49.22511,16.55859,True,36,3051
275,281.0,,1403605,Česká,49.22701,16.55337,True,36,3052
276,180.0,,03616,Česká,49.22092,16.55428,True,36,3053
277,157.0,,03615,Česká,49.21012,16.59396,True,36,3055
278,180.0,,03407,Česká,49.22047,16.5714,True,34,3056
279,157.0,,03015,"Královo Pole, nádraží",49.22276,16.59132,True,30,3058
280,146.0,,03013,Černého,49.22984,16.59529,True,30,3060
281,247.0,,03605,"Komín, sídliště",49.21731,16.56966,True,36,3061
282,337.0,,03303,Hlavní nádraží,49.16649,16.7277,,31,3216
283,11.0,,03317,Hlavní nádraží,49.17633,16.68726,,31,3218
284,135.0,,03307,"Šlapanice, Kalvodova",49.17345,16.68266,,31,3231
285,101.0,,03309,"Slatina, sídliště",49.18696,16.64936,,33,3244
286,303.0,,03301,Hlavní nádraží,49.18208,16.67626,,33,3254
287,348.0,,03304,Hlavní nádraží,49.16648,16.72779,,31,3256
288,337.0,,03313,"Slatina, sídliště",49.19219,16.61352,,33,3259
289,33.0,,03408,Česká,49.22061,16.57156,,34,3260
290,157.0,,03906,Komenského náměstí,49.19688,16.59272,,39,3267
291,315.0,,03204,Srbská,49.20478,16.59974,,32,3269
292,11.0,,03305,Hlavní nádraží,49.18193,16.69026,,33,3271
293,326.0,,03902,Komenského náměstí,49.19965,16.5705,,38,3273
294,168.0,,03910,Mendlovo náměstí,49.19174,16.59575,,35,3274
295,258.0,,03402,Vychodilova,49.19835,16.60493,,34,3275
296,326.0,,02704,Pálavské náměstí,49.20298,16.64246,,27,3276
297,326.0,,03202,Česká,49.21951,16.59223,,32,3278
298,101.0,,03406,Česká,49.21553,16.58209,,34,3280
299,348.0,,02710,Stará osada,49.20567,16.65702,,27,3281
300,,,03728,Mendlovo náměstí,0.0,1.666667e-07,,37,3282
301,22.0,,03722,Mendlovo náměstí,49.18811,16.5346,,37,3284
302,281.0,,03206,Srbská,49.19838,16.60484,,32,3286
303,,,02524,Vozovna Husovice,49.17972,16.54603,,26,3502
304,90.0,,02534,Osová,49.17813,16.56481,,25,3504
305,,,02516,Novolíšeňská,0.0,0.0,,25,3505
306,90.0,,02506,Kamenný vrch,49.20176,16.6714,,26,3506
307,,,02530,Novolíšeňská,0.0,1.666667e-07,,25,3508
308,259.0,,02527,Kamenný vrch,49.17709,16.55595,True,26,3601
309,292.0,,03707,Osová,49.19149,16.57674,True,37,3603
310,202.0,,02519,Novolíšeňská,49.19669,16.59397,True,25,3606
311,90.0,,02513,Novolíšeňská,49.21489,16.62751,True,25,3608
312,348.0,,02501,Osová,49.20763,16.63035,True,25,3609
313,225.0,,02533,Kamenný vrch,49.20478,16.5953,True,26,3611
314,213.0,,03705,Osová,49.1939,16.53093,True,37,3616
315,255.0,,03703,Mendlovo náměstí,49.16949,16.56656,,37,3618
316,168.0,,03701,Mendlovo náměstí,49.16933,16.5663,,37,3619
317,168.0,,02535,Osová,49.1944,16.59498,,25,3620
318,180.0,,02531,Kamenný vrch,49.18211,16.56248,,26,3621
319,180.0,,02539,Kamenný vrch,49.19202,16.5957,,26,3622
320,90.0,,02515,Vozovna Husovice,49.18982,16.59384,,26,3623
321,292.0,,02541,Kamenný vrch,49.21377,16.63746,,26,3624
322,101.0,,02529,Novolíšeňská,49.16919,16.56647,,25,3625
323,157.0,,02521,Vozovna Husovice,49.17956,16.54596,,26,3626
324,,,03709,Mendlovo náměstí,49.19593,16.54553,,37,3628
325,191.0,,02505,Osová,49.20775,16.63041,,25,3630
326,168.0,,02512,Novolíšeňská,49.2077,16.66358,,25,3631
327,,,02542,Osová,0.0,0.0,,25,3633
328,236.0,,02502,Kamenný vrch,49.2018,16.67035,,26,3634
329,315.0,,02538,Kamenný vrch,49.2102,16.66271,,26,3635
330,67.0,,02514,Vozovna Husovice,49.20763,16.60404,,26,3637
331,56.0,,02508,Vozovna Husovice,49.21296,16.61845,,26,3638
332,270.0,,03711,Mendlovo náměstí,49.17667,16.55826,,37,3639
333,247.0,,02537,Kamenný vrch,49.21305,16.61843,,26,3640
334,90.0,,02510,Novolíšeňská,49.20133,16.65927,,25,3641
335,33.0,,02518,Vozovna Husovice,49.18445,16.56483,,26,3642
336,213.0,,02540,Osová,49.2095,16.60918,,25,3643
337,101.0,,02522,Novolíšeňská,49.19154,16.57645,,25,3644
338,78.0,,02708,Stará osada,49.20536,16.65809,,27,3645
339,348.0,,02504,Kamenný vrch,49.20187,16.67155,,26,3647
340,,,07513,"Obřany, sídliště",49.22286,16.64486,True,75,7002
341,292.0,,30067,Úzká,49.15864,16.62803,True,891,7003
342,11.0,,04607,Haškova,49.22647,16.63091,True,46,7004
343,176.0,,30065,Úzká,49.15551,16.62822,True,891,7005
344,157.0,,30069,Avion Shopping park,49.18699,16.61726,True,891,7006
345,213.0,,07517,"Slatina, nádraží",49.17603,16.67003,True,75,7007
346,326.0,,06403,Nemocnice Bohunice,49.23197,16.57681,True,796,7008
347,292.0,,07603,Hlavní nádraží,49.18796,16.61759,True,76,7009
348,90.0,,07601,Hlavní nádraží,49.15484,16.69239,True,76,7010
349,168.0,,06413,Červený písek,49.17675,16.62301,True,64,7011
350,67.0,,06711,Zvonařka,49.21167,16.55111,True,67,7015
351,202.0,,07705,Úzká,49.17038,16.67965,True,77,7016
352,191.0,,04701,Staré Černovice,49.18691,16.60918,True,47,7017
353,326.0,,07707,Úzká,49.16056,16.70071,True,77,7018
354,,,06705,Jundrov,49.18724,16.61811,True,67,7019
355,281.0,,05201,ZOO,49.20639,16.50335,True,52,7021
356,123.0,,07701,Slatinka,49.17304,16.67325,True,77,7022
357,11.0,,04611,Haškova,49.21695,16.62757,True,46,7023
358,303.0,,06305,Úzká,49.16333,16.63363,True,63,7024
359,191.0,,06401,Staré Černovice,49.22157,16.65284,True,74,7025
360,180.0,,07809,"Židenice, nádraží",49.20099,16.66604,True,78,7026
361,45.0,,06715,Jundrov,49.1993,16.60904,True,67,7027
362,67.0,,05801,"Líšeň, hřbitov",49.19635,16.65595,True,58,7028
363,180.0,,05803,"Líšeň, hřbitov",49.20163,16.63804,True,58,7029
364,101.0,,05713,Tomkovo náměstí,49.22242,16.62564,True,57,7031
365,78.0,,07803,"Modřice, Olympia",49.19548,16.6487,True,78,7032
366,168.0,,07519,Vozovna Slatina,49.19579,16.64623,True,75,7033
367,22.0,,07505,Bílovice nad Svitavou,49.20215,16.64188,True,75,7034
368,11.0,,05811,"Líšeň, hřbitov",49.2099,16.69632,True,58,7036
369,112.0,,06301,Úzká,49.12637,16.65458,True,63,7038
370,157.0,,06405,Komárov,49.22048,16.65725,True,64,7039
371,180.0,,08201,Valašská,49.2058,16.65713,True,82,7041
372,135.0,,06707,Avion Shopping park,49.2061,16.61274,True,67,7042
373,247.0,,05707,Haškova,49.21428,16.63677,True,57,7043
374,247.0,,07703,Úzká,49.18787,16.62577,True,77,7044
375,258.0,,04901,Přízřenice,49.17488,16.61934,True,49,7045
376,258.0,,04921,Úzká,49.13968,16.63396,True,49,7047
377,33.0,,06309,Chrlické náměstí,49.11499,16.6507,True,509,7048
378,157.0,,06303,Chrlice,49.1477,16.64862,True,63,7050
379,236.0,,04905,Úzká,49.18793,16.62605,True,47,7051
380,270.0,,06307,Chrlice,49.18871,16.61106,True,63,7053
381,292.0,,04805,Úzká,49.15699,16.64604,True,48,7054
382,11.0,,07509,Bílovice nad Svitavou,49.1692,16.68296,True,75,7055
383,90.0,,04911,"Modřice, Olympia",49.1877,16.62529,True,49,7056
384,90.0,,06905,Ukrajinská,49.17341,16.54613,True,69,7057
385,90.0,,06407,Staré Černovice,49.22061,16.65707,True,74,7058
386,326.0,,06907,Bosonohy,49.16859,16.55616,True,69,7059
387,67.0,,07813,"Židenice, nádraží",49.13394,16.6513,True,78,7060
388,258.0,,05805,"Židenice, nádraží",49.19559,16.64969,True,58,7061
389,90.0,,07805,"Modřice, Olympia",49.20313,16.63643,True,78,7062
390,281.0,,06901,Bosonohy,49.17075,16.58323,True,69,7064
391,142.0,,06415,Staré Černovice,49.17073,16.6473,True,74,7065
392,168.0,,05807,"Židenice, nádraží",49.20624,16.69443,True,58,7067
393,348.0,,07817,"Židenice, nádraží",49.18973,16.64883,True,795,7068
394,,,05701,Tomkovo náměstí,49.25695,16.62266,True,57,7074
395,0.0,,07807,"Židenice, nádraží",49.20421,16.69414,,78,7076
396,191.0,,06903,Ukrajinská,49.17284,16.58357,True,69,7077
397,326.0,,05503,"Židenice, nádraží",49.19997,16.64483,True,55,7078
398,67.0,,07825,"Slatina, závod",49.21392,16.67892,True,78,7079
399,78.0,,06709,Avion Shopping park,49.21943,16.57716,True,67,7080
400,168.0,,07801,"Modřice, Olympia",49.18256,16.69187,True,78,7081
401,315.0,,04917,Úzká,49.16418,16.61807,True,49,7083
402,180.0,,07511,"Obřany, sídliště",49.18376,16.67235,True,75,7084
403,292.0,,06701,Jundrov,49.1587,16.62798,True,67,7085
404,112.0,,04919,Úzká,49.14431,16.62082,True,49,7086
405,191.0,,05209,Mendlovo náměstí,49.21419,16.49368,True,52,7087
406,326.0,,06409,Červený písek,49.20333,16.64216,True,64,7088
407,58.0,,05205,Mendlovo náměstí,49.19333,16.54851,True,52,7089
408,202.0,,06411,Komárov,49.20265,16.64223,True,64,7090
409,0.0,,06703,Avion Shopping park,49.15368,16.62896,True,67,7091
